Movie Name,Year of Release,Run Time in minutes,Movie Rating,Votes,MetaScore,Gross,Genre,Certification,Director,Stars,Description
Life Is Beautiful,1997,116,8.6,723773,59.0,57600000.0,"['Comedy', ' Drama', ' Romance']",PG-13,['Roberto Benigni'],"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']","['When', 'an', 'open-minded', 'Jewish', 'waiter', 'and', 'his', 'son', 'become', 'victims', 'of', 'the', 'Holocaust,', 'he', 'uses', 'a', 'perfect', 'mixture', 'of', 'will,', 'humor', 'and', 'imagination', 'to', 'protect', 'his', 'son', 'from', 'the', 'dangers', 'around', 'their', 'camp.']"
Psycho,1960,109,8.5,699966,97.0,32000000.0,"['Horror', ' Mystery', ' Thriller']",R,['Alfred Hitchcock'],"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']","['A', 'Phoenix', 'secretary', 'embezzles', '$40,000', 'from', 'her', ""employer's"", 'client,', 'goes', 'on', 'the', 'run', 'and', 'checks', 'into', 'a', 'remote', 'motel', 'run', 'by', 'a', 'young', 'man', 'under', 'the', 'domination', 'of', 'his', 'mother.']"
Cinema Paradiso,1988,155,8.5,274382,80.0,11990000.0,"['Drama', ' Romance']",R,['Giuseppe Tornatore'],"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili', 'Isa Danieli']","['A', 'filmmaker', 'recalls', 'his', 'childhood', 'when', 'falling', 'in', 'love', 'with', 'the', 'pictures', 'at', 'the', 'cinema', 'of', 'his', 'home', 'village', 'and', 'forms', 'a', 'deep', 'friendship', 'with', 'the', ""cinema's"", 'projectionist.']"
Once Upon a Time in the West,1968,165,8.5,342065,82.0,5320000.0,['Western'],PG-13,['Sergio Leone'],"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards']","['A', 'mysterious', 'stranger', 'with', 'a', 'harmonica', 'joins', 'forces', 'with', 'a', 'notorious', 'desperado', 'to', 'protect', 'a', 'beautiful', 'widow', 'from', 'a', 'ruthless', 'assassin', 'working', 'for', 'the', 'railroad.']"
Oldboy,2003,120,8.4,612299,78.0,710000.0,"['Action', ' Drama', ' Mystery']",R,['Park Chan-wook'],"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jeong', 'Kim Byeong-Ok']","['After', 'being', 'kidnapped', 'and', 'imprisoned', 'for', 'fifteen', 'years,', 'Oh', 'Dae-Su', 'is', 'released,', 'only', 'to', 'find', 'that', 'he', 'must', 'find', 'his', 'captor', 'in', 'five', 'days.']"
Amadeus,1984,160,8.4,417725,87.0,51970000.0,"['Biography', ' Drama', ' Music']",R,['Milos Forman'],"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice']","['The', 'life,', 'success', 'and', 'troubles', 'of', 'Wolfgang', 'Amadeus', 'Mozart,', 'as', 'told', 'by', 'Antonio', 'Salieri,', 'the', 'contemporaneous', 'composer', 'who', 'was', 'deeply', 'jealous', 'of', ""Mozart's"", 'talent', 'and', 'claimed', 'to', 'have', 'murdered', 'him.']"
Spider-Man: Into the Spider-Verse,2018,117,8.4,632177,87.0,190240000.0,"['Animation', ' Action', ' Adventure']",PG,"['Bob Persichetti', 'Peter Ramsey', 'Rodney Rothman']","['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali']","['Teen', 'Miles', 'Morales', 'becomes', 'the', 'Spider-Man', 'of', 'his', 'universe', 'and', 'must', 'join', 'with', 'five', 'spider-powered', 'individuals', 'from', 'other', 'dimensions', 'to', 'stop', 'a', 'threat', 'for', 'all', 'realities.']"
Apocalypse Now,1979,147,8.4,692940,94.0,83470000.0,"['Drama', ' Mystery', ' War']",R,['Francis Ford Coppola'],"['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']","['A', 'U.S.', 'Army', 'officer', 'serving', 'in', 'Vietnam', 'is', 'tasked', 'with', 'assassinating', 'a', 'renegade', 'Special', 'Forces', 'Colonel', 'who', 'sees', 'himself', 'as', 'a', 'god.']"
Coco,2017,105,8.4,556622,81.0,209730000.0,"['Animation', ' Adventure', ' Drama']",PG,"['Lee Unkrich', 'Adrian Molina']","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']","['Aspiring', 'musician', 'Miguel,', 'confronted', 'with', 'his', ""family's"", 'ancestral', 'ban', 'on', 'music,', 'enters', 'the', 'Land', 'of', 'the', 'Dead', 'to', 'find', 'his', 'great-great-grandfather,', 'a', 'legendary', 'singer.']"
Your Name.,2016,106,8.4,300107,81.0,5020000.0,"['Animation', ' Drama', ' Fantasy']",PG,['Makoto Shinkai'],"['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita', 'Aoi Yûki']","['Two', 'teenagers', 'share', 'a', 'profound,', 'magical', 'connection', 'upon', 'discovering', 'they', 'are', 'swapping', 'bodies.', 'Things', 'manage', 'to', 'become', 'even', 'more', 'complicated', 'when', 'the', 'boy', 'and', 'girl', 'decide', 'to', 'meet', 'in', 'person.']"
